# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = benchmark_warfarin_new_model
# method = sample (Default)
#   sample
#     num_samples = 150
#     num_warmup = 150
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = benchmark-warfarin.data.R
# init = benchmark-warfarin.init.R
# random
#   seed = 3172019
# output
#   file = new-2-3172019-9.csv
#   diagnostic_file =  (Default)
#   refresh = 150
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,Eta.1.1,Eta.2.1,Eta.3.1,Eta.4.1,Eta.5.1,Eta.6.1,Eta.7.1,Eta.8.1,Eta.9.1,Eta.10.1,Eta.11.1,Eta.12.1,Eta.13.1,Eta.14.1,Eta.15.1,Eta.16.1,Eta.17.1,Eta.18.1,Eta.19.1,Eta.20.1,Eta.21.1,Eta.22.1,Eta.23.1,Eta.24.1,Eta.25.1,Eta.26.1,Eta.27.1,Eta.28.1,Eta.29.1,Eta.30.1,Eta.31.1,Eta.32.1,Eta.1.2,Eta.2.2,Eta.3.2,Eta.4.2,Eta.5.2,Eta.6.2,Eta.7.2,Eta.8.2,Eta.9.2,Eta.10.2,Eta.11.2,Eta.12.2,Eta.13.2,Eta.14.2,Eta.15.2,Eta.16.2,Eta.17.2,Eta.18.2,Eta.19.2,Eta.20.2,Eta.21.2,Eta.22.2,Eta.23.2,Eta.24.2,Eta.25.2,Eta.26.2,Eta.27.2,Eta.28.2,Eta.29.2,Eta.30.2,Eta.31.2,Eta.32.2,Eta.1.3,Eta.2.3,Eta.3.3,Eta.4.3,Eta.5.3,Eta.6.3,Eta.7.3,Eta.8.3,Eta.9.3,Eta.10.3,Eta.11.3,Eta.12.3,Eta.13.3,Eta.14.3,Eta.15.3,Eta.16.3,Eta.17.3,Eta.18.3,Eta.19.3,Eta.20.3,Eta.21.3,Eta.22.3,Eta.23.3,Eta.24.3,Eta.25.3,Eta.26.3,Eta.27.3,Eta.28.3,Eta.29.3,Eta.30.3,Eta.31.3,Eta.32.3,sigma_eta.1,sigma_eta.2,sigma_eta.3,sigma_y,kappa,R0,kin,kout,EC50,sigma_y_ref
# Adaptation terminated
# Step size = 0.143704
# Diagonal elements of inverse mass matrix:
# 0.000528142, 0.00073738, 0.00558078, 0.34707, 0.190158, 0.0822169, 0.558019, 0.350671, 0.0941524, 0.591825, 0.318909, 0.0629836, 0.541234, 0.353764, 0.16027, 0.385417, 0.277588, 0.062127, 0.626064, 0.259884, 0.128245, 0.562189, 0.446271, 0.0757807, 1.92705, 0.134513, 0.127113, 0.564185, 0.568919, 0.0504469, 1.33354, 0.195319, 0.0944941, 0.479475, 0.316313, 0.0953101, 0.725115, 0.32744, 0.197755, 0.774796, 0.474576, 0.109623, 1.18549, 0.162871, 0.0885487, 0.758696, 0.358046, 0.0649923, 0.387363, 0.37025, 0.121876, 0.245093, 0.466141, 0.0643521, 0.799522, 0.186544, 0.0514622, 0.323478, 0.328837, 0.147848, 1.02205, 0.583876, 0.061567, 0.802256, 0.546946, 0.067982, 0.967751, 0.359963, 0.0669378, 0.349527, 0.405765, 0.0805997, 0.644497, 0.381042, 0.073601, 0.828151, 0.616367, 0.0595178, 1.01899, 0.156193, 0.0382587, 0.749774, 0.247939, 0.0738829, 0.92752, 0.15713, 0.0660696, 0.827742, 0.70075, 0.0491442, 0.748474, 0.255376, 0.0467018, 1.24111, 0.400552, 0.0628325, 0.947146, 0.562837, 0.0606395, 0.738924, 0.0199218, 0.0242073, 0.72998, 0.0452694
-699.743,0.770546,0.143704,5,31,0,742.28,4.58668,2.9267,0.226675,-0.621258,0.943724,-1.83809,-0.88508,0.301854,-0.0529212,0.729905,-0.911261,-1.23409,-0.484118,-1.39519,-1.1218,-1.31162,0.799561,-0.736049,1.97577,-0.189559,-2.44899,-0.534541,0.148277,0.795606,0.7373,1.11565,-1.12424,-0.728965,1.2767,-0.0486351,0.482199,-0.966019,0.0630805,0.392424,0.708913,0.275558,0.528693,-0.54034,0.456348,0.733231,1.03296,-1.20716,-0.782176,-0.793756,-0.375082,-0.0399222,-1.99426,0.786863,-1.134,0.442277,-1.10182,0.247039,0.166075,0.885532,0.440398,-0.501585,-0.490378,0.820382,-2.30846,-0.720622,1.29558,-2.30405,0.876153,-1.66613,0.478121,-0.343296,0.00135118,0.323209,-0.131216,0.783807,-1.99905,-0.0734467,-1.73443,0.718761,-0.420788,-0.384531,-0.13249,-0.878489,-0.37089,-1.26908,-0.472702,-0.34541,1.1753,-0.552404,-0.985608,-1.56287,0.495728,0.580838,1.21849,-0.592124,1.47154,0.419625,-0.362225,0.74007,-0.921519,0.721048,0.25222,0.626744,-0.137183,0.0211548,0.163236,0.542782,0.187029,0.0844786,98.1675,5.25917,0.0535734,1.25442,3.44562
-700.568,0.953352,0.143704,5,31,0,758.38,4.58443,2.9412,0.162433,-1.65108,1.42848,-1.75857,-0.632544,0.078934,0.714155,-0.851002,-0.175413,0.223909,-0.584845,-1.2643,-1.19935,-0.793506,1.54507,-0.432538,1.97137,-0.506202,-1.31978,-1.6477,-0.322992,-1.53107,0.0971002,0.647533,-1.92051,0.896542,1.25938,-0.288569,-0.355218,-1.45691,0.636428,0.0536695,-0.0913919,0.828493,1.00274,-0.661749,1.03308,0.168414,-0.46571,-0.705498,-0.450041,-0.00675263,-0.770132,0.296012,-2.23518,0.111919,-1.10603,0.246977,-0.600947,-0.113993,0.35752,0.608572,-0.423978,-0.267313,-0.636638,0.348109,-1.23707,-0.126888,0.496072,-2.53377,1.08379,-1.65516,0.912997,-0.824584,1.13734,0.0488138,0.451424,0.857749,-1.72334,-0.145872,-1.14642,0.723895,-0.294486,-0.484142,0.0454419,-0.35025,-0.0674354,-0.947551,-0.691755,-0.220377,1.03399,-0.429432,-0.773006,-1.43735,0.699882,0.94746,0.963081,-0.751269,1.21209,0.150996,-0.262666,1.1972,-0.951652,0.766732,0.302818,0.917055,0.0743405,0.0226949,0.156429,0.610283,0.0513954,0.0971085,97.9477,5.17185,0.0528022,1.17637,3.20942
-687.913,0.987971,0.143704,5,31,0,754.354,4.57744,2.85015,0.168175,0.995023,-1.05403,2.42631,-0.783812,-0.627526,-1.29122,0.817685,0.10049,-0.330608,0.656061,1.17412,0.145445,0.615835,-1.60901,0.838712,-0.114968,-1.22514,0.739047,0.912174,-0.303319,1.60143,-0.272187,-0.715334,1.71238,-1.69969,-0.98422,0.443912,0.684975,1.48352,-0.299717,-0.660071,-1.07294,0.713321,1.67432,-0.819483,1.2481,0.0705655,1.17605,-0.168588,-0.198621,0.0265831,0.77417,0.160024,-0.0927398,0.445943,0.288718,0.376713,0.393467,0.807825,0.511439,1.58275,0.716933,0.356464,-1.45256,0.919799,-1.84812,-0.251954,1.38363,-0.047205,0.700139,-0.915847,-0.479771,0.230657,0.821733,-0.352702,0.848698,0.586771,-1.77847,-0.0576205,-1.2654,0.349205,-0.530028,-0.113619,-0.281431,-0.898412,-1.71409,-1.2082,-0.113826,-0.376514,1.37396,-0.455289,-1.28439,-1.25422,0.318567,0.535806,1.31139,-0.636313,0.849339,0.288524,-0.0121826,0.7245,-0.724872,0.28683,0.917366,0.985852,-0.189905,0.0313094,0.15381,0.56803,1.43943,0.169405,97.2648,5.62538,0.0578357,1.18314,2.824
-671.173,0.998353,0.143704,5,31,0,727.832,4.62606,2.86788,0.130182,0.909677,0.230512,0.0148976,0.799759,-0.0831717,-1.81087,1.95564,-1.42712,0.122842,-1.38964,0.786851,1.0174,-0.232663,-0.197902,0.0931371,-0.0608075,-0.653954,1.18342,0.37851,0.128946,-1.71746,-0.00941619,0.765559,-0.773675,0.246533,0.585536,0.29504,-0.264871,-2.25558,0.0483151,-0.461986,1.14606,0.159735,1.83594,-0.48404,0.581696,0.74991,1.32853,-1.37887,-0.332628,-0.531384,-0.0630867,0.531204,-1.12113,1.55654,-0.574101,0.481271,0.397472,0.758449,0.308922,1.08509,0.723259,0.0420764,0.468967,0.0857638,-1.46447,-0.813043,1.016,-1.80172,0.485658,-0.37013,0.690123,1.25641,1.13259,-0.467723,0.213825,0.557072,-1.62761,0.184401,-1.07574,0.497345,-0.274539,-0.401456,-0.0189901,-0.69251,-1.53724,-1.23505,-0.269447,-0.239392,1.23149,-0.725543,-1.08978,-1.34644,0.664888,0.873863,0.799333,-0.46522,1.20469,0.437028,-0.292481,0.865641,-0.68452,0.391567,0.385969,0.714716,0.0373454,0.0341907,0.151253,0.595424,1.09839,0.122595,102.111,5.80191,0.0568195,1.13904,3.05997
-672.53,0.954093,0.143704,5,31,0,715.574,4.60124,2.87402,0.161165,-0.17534,-0.34709,0.494289,-0.184516,-1.32548,-1.24242,2.23499,0.936506,-1.40075,-0.539819,-1.26691,1.33567,-1.24696,0.519129,0.253278,0.512862,-0.0828489,0.341509,-1.11783,-0.880085,0.545338,-0.796776,-0.19993,0.457988,-1.18626,1.51678,-0.104091,0.844131,1.69677,-0.935849,-1.54939,0.774248,-0.19077,1.69059,-0.3283,0.737428,-0.176628,0.977436,-0.154498,0.139574,0.196083,-0.223236,0.421357,0.178636,0.347244,-0.513048,0.380862,-0.494978,-0.110575,0.292464,1.32533,0.158226,0.424979,-0.6821,0.478917,-1.25454,-0.357268,0.773516,-1.43154,0.72797,-1.21363,-0.232438,0.0134049,1.03121,0.129919,0.582934,0.701534,-1.67454,-0.124646,-1.20848,0.44371,-0.390962,-0.20653,-0.256436,-0.572447,-2.16582,-1.11671,-0.301489,-0.203667,1.39185,-0.476408,-0.934885,-1.27975,0.512924,0.490617,1.12028,-0.618508,0.868396,0.155787,-0.276245,0.830959,-0.807512,0.290615,0.815212,0.722219,-0.191816,0.0156235,0.187499,0.589192,0.518291,0.11186,99.608,5.62501,0.0564715,1.17488,3.03453
-681.227,0.846596,0.143704,5,31,0,721.743,4.60469,2.92378,0.125664,0.294887,-0.236907,1.17505,0.657288,-0.960062,0.0867385,1.93376,0.182801,-1.19551,-0.591256,-1.0816,-0.320296,-0.165831,0.0079755,0.825505,-0.53842,-0.199894,0.562022,-0.241216,-0.281662,0.455034,0.093819,-0.401022,-0.241262,1.45456,-0.184028,-1.36659,-0.441611,-0.300983,-1.66752,-0.1364,0.749817,-0.217656,1.09567,0.525006,0.440566,-0.461286,0.234045,0.55878,-0.400588,-1.0744,-0.460452,0.0710752,-0.587659,0.864324,-1.25774,-0.0883372,0.158504,0.755773,0.151228,0.564269,0.764201,-1.89162,-0.478607,-0.0884274,-0.788887,-1.21472,0.631189,-1.46109,0.495908,-1.09819,-0.102392,0.475511,0.721546,-0.157037,0.297503,0.47451,-1.61328,0.34771,-1.14946,0.285657,-0.339259,-0.12574,0.256011,-0.664641,-2.58516,-1.05449,-0.110869,-0.245469,1.08136,-0.71884,-0.877615,-1.3199,0.465034,0.997694,0.895782,-0.379549,1.02627,0.444796,-0.303854,0.904297,-0.693147,0.405623,0.634872,0.706836,0.0741465,0.00805711,0.147296,0.621629,0.4523,0.1051,99.9516,5.37043,0.0537303,1.1339,3.11758
