# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 0
# model = benchmark_warfarin_old_model
# method = sample (Default)
#   sample
#     num_samples = 150
#     num_warmup = 150
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = benchmark-warfarin.data.R
# init = benchmark-warfarin.init.R
# random
#   seed = 6112019
# output
#   file = linux/old-warfarin-1-06112019-2.csv
#   diagnostic_file =  (Default)
#   refresh = 150
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,Eta.1.1,Eta.2.1,Eta.3.1,Eta.4.1,Eta.5.1,Eta.6.1,Eta.7.1,Eta.8.1,Eta.9.1,Eta.10.1,Eta.11.1,Eta.12.1,Eta.13.1,Eta.14.1,Eta.15.1,Eta.16.1,Eta.17.1,Eta.18.1,Eta.19.1,Eta.20.1,Eta.21.1,Eta.22.1,Eta.23.1,Eta.24.1,Eta.25.1,Eta.26.1,Eta.27.1,Eta.28.1,Eta.29.1,Eta.30.1,Eta.31.1,Eta.32.1,Eta.1.2,Eta.2.2,Eta.3.2,Eta.4.2,Eta.5.2,Eta.6.2,Eta.7.2,Eta.8.2,Eta.9.2,Eta.10.2,Eta.11.2,Eta.12.2,Eta.13.2,Eta.14.2,Eta.15.2,Eta.16.2,Eta.17.2,Eta.18.2,Eta.19.2,Eta.20.2,Eta.21.2,Eta.22.2,Eta.23.2,Eta.24.2,Eta.25.2,Eta.26.2,Eta.27.2,Eta.28.2,Eta.29.2,Eta.30.2,Eta.31.2,Eta.32.2,Eta.1.3,Eta.2.3,Eta.3.3,Eta.4.3,Eta.5.3,Eta.6.3,Eta.7.3,Eta.8.3,Eta.9.3,Eta.10.3,Eta.11.3,Eta.12.3,Eta.13.3,Eta.14.3,Eta.15.3,Eta.16.3,Eta.17.3,Eta.18.3,Eta.19.3,Eta.20.3,Eta.21.3,Eta.22.3,Eta.23.3,Eta.24.3,Eta.25.3,Eta.26.3,Eta.27.3,Eta.28.3,Eta.29.3,Eta.30.3,Eta.31.3,Eta.32.3,sigma_eta.1,sigma_eta.2,sigma_eta.3,sigma_y,kappa,R0,kin,kout,EC50,sigma_y_ref
# Adaptation terminated
# Step size = 0.13476
# Diagonal elements of inverse mass matrix:
# 0.000408313, 0.000478533, 0.0048996, 0.511092, 0.370114, 0.0739396, 0.544431, 0.509978, 0.071802, 0.532892, 0.309846, 0.0615845, 0.821496, 0.167031, 0.0890228, 1.41504, 0.451327, 0.0679076, 0.688238, 0.271333, 0.0686071, 0.612248, 0.399624, 0.0537677, 0.51877, 0.244635, 0.0519565, 0.696629, 0.216398, 0.0315129, 0.997565, 0.274797, 0.0627008, 0.353932, 0.150886, 0.0415833, 0.675041, 0.301895, 0.27916, 0.282631, 0.254122, 0.0521348, 0.542486, 0.2033, 0.113991, 0.562178, 0.376188, 0.101616, 0.281725, 0.452725, 0.075277, 0.562116, 0.284998, 0.0354787, 0.419943, 0.244032, 0.0576872, 0.484557, 0.106624, 0.0582462, 0.677416, 0.223199, 0.0690022, 1.15039, 0.479465, 0.0833356, 0.456327, 0.418732, 0.0690003, 0.669646, 0.265241, 0.168632, 1.07307, 0.574124, 0.0635484, 0.491632, 0.269455, 0.0753587, 0.705943, 0.230741, 0.0889842, 1.01761, 0.693521, 0.0855983, 0.682493, 0.185404, 0.061816, 0.693009, 0.393419, 0.0513952, 0.549577, 0.424709, 0.0689019, 0.346306, 0.253759, 0.0622311, 0.253513, 0.42446, 0.0940683, 0.272508, 0.032248, 0.0157431, 0.515299, 0.41384
-696.386,0.943907,0.13476,5,31,0,752.18,4.61361,2.90119,0.0758563,-0.542361,1.36863,-0.205497,0.824713,-0.317756,-1.83631,0.48765,-0.201617,-0.223535,-0.0705145,-0.627898,-1.74041,-2.04526,-0.427607,0.724394,-0.582452,-1.1286,-0.0578396,-1.63956,1.09467,1.1105,1.23961,0.72671,-0.470431,1.53504,0.177526,1.22009,-0.419833,-0.447577,0.64946,0.207637,0.121136,1.0704,0.262131,-0.725988,-0.00555218,0.260773,1.02161,-0.491562,0.145853,-0.305558,0.0663267,-0.419895,-1.36385,0.0621986,0.143178,-0.462005,-1.11169,-0.106921,0.466862,1.34091,0.310104,-0.0548025,-0.870668,-0.0192698,-1.72192,-1.38461,0.555236,-2.04037,1.14556,-0.465254,0.407145,0.23504,0.485229,-0.295585,1.02791,1.25075,-2.33348,-0.0317487,-1.44455,-0.0959556,-0.360826,-0.0761662,0.0775904,-0.950691,-1.02217,-1.21125,0.0167325,-0.330484,2.00056,-0.599356,-1.58524,-1.34791,0.77774,1.17218,1.8032,-0.605894,2.17535,0.134596,-0.0375081,1.20612,-1.33153,0.33032,1.31476,1.34991,0.0844452,0.0348802,0.149245,0.366098,0.760552,0.107314,100.848,5.54235,0.0549576,1.07881,3.14593
-691.31,0.910927,0.13476,5,31,0,740.747,4.60941,2.90549,0.105402,-0.0332422,1.05001,0.61836,-0.214491,-0.133632,1.68604,0.716547,-1.40246,-1.18771,-1.2054,0.785269,-2.10157,-0.637378,-0.92238,0.705777,0.596079,0.913615,-1.34925,-1.62834,-2.39548,0.396865,-0.488473,-0.293149,0.122447,0.0588316,0.434155,-2.03661,-1.82857,-0.34572,-0.782049,-0.448017,0.49613,-0.168888,0.719292,-0.946958,0.966139,0.438683,0.697679,-1.05045,-0.791547,-0.142845,0.404718,0.691242,-1.3593,1.5501,-0.447751,0.9595,0.595496,0.67406,0.206506,1.58798,1.30867,0.0351359,-0.774935,0.239292,-2.33831,-1.2874,1.06377,-0.539705,1.54912,-0.363289,-0.511201,-0.159126,0.58753,-0.018838,0.832886,0.978988,-2.01862,0.146206,-1.83089,1.17175,-0.327715,-0.324559,0.0193258,-0.794437,-0.721347,-1.28968,-0.418676,-0.435697,1.92007,-0.954056,-0.873669,-1.75227,1.03792,0.705566,1.22777,-0.622012,1.1131,0.741923,-0.210641,1.49202,-0.515452,0.469871,0.814881,1.10618,0.289091,0.0362901,0.111554,0.435446,1.3832,0.165654,100.425,5.49545,0.054722,1.11116,2.81956
-685.966,0.894569,0.13476,5,31,0,737.521,4.59299,2.93229,0.0846692,-0.161791,-0.27872,0.145795,-0.493703,0.330055,-1.42688,-0.855479,1.1607,-0.0611931,0.692652,-0.902593,0.739759,-0.54352,-1.00708,-0.545601,0.438399,-0.724156,-1.05032,0.0563846,2.61416,-0.0792381,-0.636529,1.20676,-0.832203,0.821186,-0.883762,2.39997,2.02863,-0.644071,-0.608802,0.885872,0.783071,1.46956,1.8337,-1.31322,0.723276,-0.19339,1.20531,-0.458811,-0.495295,-0.957814,-0.284508,-0.209126,-1.59582,0.455838,-1.06336,-0.373699,-0.176455,0.637085,0.162589,0.577798,0.6306,-0.434802,-0.894718,0.00646088,-1.38215,-0.562886,1.23353,-1.95873,0.498712,-1.58627,0.393448,0.202131,1.34199,-0.488388,0.663943,1.02863,-2.11084,0.193674,-1.36008,0.909694,-0.556672,-0.0526411,0.0144913,-0.714043,-0.925944,-1.50804,-0.0357065,-0.0905642,1.73771,-0.877055,-0.93707,-1.53424,0.373879,1.47906,1.78137,-0.789335,1.6235,0.599778,0.147188,1.19116,-1.42922,0.746493,0.888645,1.00741,-0.33273,0.0484526,0.141981,0.395971,0.603294,0.151686,98.7893,5.26297,0.0532747,1.08836,2.63752
-688.806,0.919067,0.13476,5,31,0,735.808,4.6057,2.89306,0.104155,-0.0719163,1.03525,0.395974,0.174006,1.41034,1.37834,1.4437,-0.557979,-0.00195647,-0.119968,0.498618,-1.32832,-0.113285,0.496394,1.45415,-0.260412,0.0733257,0.4955,-0.964387,-2.11998,0.249628,1.20216,-1.17916,0.730932,-0.205252,1.3617,-1.3949,-1.74397,0.360414,1.06412,0.552736,-1.49204,-0.345767,0.896011,-0.0870401,-0.0861915,-0.434175,1.11186,-1.58508,-0.422694,-0.0883755,0.453436,-0.0378235,-1.12883,0.191326,-0.144261,-0.551719,0.14822,-0.220673,0.16444,1.40563,0.408642,0.295588,-1.15018,0.676605,-1.56048,-0.766679,1.00461,-1.63026,1.15112,-0.57723,0.123936,0.483135,0.516316,-0.232066,0.668835,0.647103,-1.66881,0.0869321,-1.46915,0.724625,0.0517487,-0.478095,-0.0564435,-1.05198,-0.793071,-1.30857,-0.273048,-0.278258,1.39488,-0.468162,-1.32926,-1.85547,1.11585,1.02092,1.28013,-0.246314,1.2538,0.628267,-0.0645012,1.21135,-0.403263,0.200726,0.54998,0.736293,0.25067,0.0534615,0.155764,0.488561,1.61912,0.155403,100.053,5.54355,0.0554063,1.10977,3.00939
-686.886,0.780874,0.13476,6,63,0,753.729,4.61076,2.90163,0.0311219,0.887006,-0.0839982,0.568201,0.0849552,-0.444152,1.3421,-0.73567,-0.522004,-0.51294,-0.263037,0.258838,-1.87283,-0.721922,-1.5539,0.987154,0.0652306,-0.00896429,-2.32594,-0.0990053,-0.381073,0.532129,-0.334104,-1.50623,0.312247,-0.291327,0.488758,-1.37688,-1.23362,-0.690341,-0.872958,-0.481093,1.8205,0.238283,0.312795,-0.125684,0.904402,0.720985,0.720396,-1.21743,-0.361772,-0.110037,0.111997,0.441258,-0.804083,0.219181,-0.104865,0.0201167,0.243137,-0.193578,-0.275184,1.0093,0.597349,-0.209644,-2.11604,0.46425,-1.55,-0.462648,0.936936,-0.936864,1.05614,-1.23381,0.242887,0.591296,0.407044,-0.207172,1.54104,0.776241,-2.40304,0.137834,-1.68132,2.04635,-0.216585,-0.238293,0.0398338,-0.698774,-0.551087,-1.22139,0.206749,-0.574258,2.37252,-0.549397,-0.668695,-1.72541,0.999464,1.56175,2.125,-0.53482,1.94116,0.857054,-0.00226014,2.06019,-0.699777,0.976959,1.21261,1.67943,-0.0489586,0.0464435,0.174313,0.376923,0.458273,0.118985,100.561,5.52417,0.0549336,1.03161,2.93504
-706.464,0.785164,0.13476,5,31,0,751.8,4.62873,2.91476,-0.0433456,-1.00937,-0.0623943,0.456726,2.07697,0.980189,1.11911,0.656148,-0.799031,0.7241,-0.919351,-0.978379,-0.332334,-0.930961,-1.87027,0.290521,0.195889,-0.841189,1.26042,1.04317,1.864,0.58624,-0.540142,1.37867,-0.749467,0.425346,0.729235,-0.242351,1.26508,-0.529699,0.65372,-1.41839,1.71112,0.651511,1.08888,-1.40492,0.162899,-0.331213,0.698047,-1.2469,-0.399761,-0.526149,-0.623717,-0.0782532,-1.19893,1.3673,-0.727091,0.55566,0.292352,0.100054,0.680949,1.25818,-0.268994,-0.662558,0.53105,0.151332,-1.76309,-0.575305,0.00139729,-1.62313,-0.0831911,-1.02315,0.384901,-0.44323,1.35908,0.174027,1.51996,1.83991,-2.31893,0.3772,-1.84284,1.67679,-0.426881,-0.271262,0.60912,-0.3464,-1.22116,-1.75663,0.117281,0.470252,1.88482,-0.018814,-1.21959,-2.32422,1.22267,1.226,1.92953,-0.581242,1.99598,0.457133,0.286148,1.92868,-0.910447,0.982502,1.09948,1.51173,0.182427,0.0255441,0.120577,0.359761,0.223524,0.105425,102.384,5.55096,0.0542172,0.95758,3.08795
