# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = benchmark_schools_4_new_model
# method = sample (Default)
#   sample
#     num_samples = 150
#     num_warmup = 150
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = schools.data.R
# init = 2 (Default)
# random
#   seed = 6112019
# output
#   file = mac/new-schools-4-1-06112019-3.csv
#   diagnostic_file =  (Default)
#   refresh = 150
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,theta,phi,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,z.1.3,z.2.3,z.3.3,z.1.4,z.2.4,z.3.4,z.1.5,z.2.5,z.3.5,z.1.6,z.2.6,z.3.6,z.1.7,z.2.7,z.3.7,z.1.8,z.2.8,z.3.8,z.1.9,z.2.9,z.3.9,z.1.10,z.2.10,z.3.10,z.1.11,z.2.11,z.3.11,z.1.12,z.2.12,z.3.12,z.1.13,z.2.13,z.3.13,z.1.14,z.2.14,z.3.14,z.1.15,z.2.15,z.3.15,z.1.16,z.2.16,z.3.16,z.1.17,z.2.17,z.3.17,z.1.18,z.2.18,z.3.18,z.1.19,z.2.19,z.3.19,z.1.20,z.2.20,z.3.20,z.1.21,z.2.21,z.3.21,z.1.22,z.2.22,z.3.22,z.1.23,z.2.23,z.3.23,z.1.24,z.2.24,z.3.24,z.1.25,z.2.25,z.3.25,z.1.26,z.2.26,z.3.26,z.1.27,z.2.27,z.3.27,z.1.28,z.2.28,z.3.28,z.1.29,z.2.29,z.3.29,z.1.30,z.2.30,z.3.30,z.1.31,z.2.31,z.3.31,z.1.32,z.2.32,z.3.32,z.1.33,z.2.33,z.3.33,z.1.34,z.2.34,z.3.34,z.1.35,z.2.35,z.3.35,z.1.36,z.2.36,z.3.36,z.1.37,z.2.37,z.3.37,z.1.38,z.2.38,z.3.38,gamma.1,gamma.2,gamma.3,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.3.1,L_Sigma.1.2,L_Sigma.2.2,L_Sigma.3.2,L_Sigma.1.3,L_Sigma.2.3,L_Sigma.3.3,sigma_Sigma.1,sigma_Sigma.2,sigma_Sigma.3,alpha.1.1,alpha.2.1,alpha.3.1,alpha.4.1,alpha.5.1,alpha.6.1,alpha.7.1,alpha.8.1,alpha.9.1,alpha.10.1,alpha.11.1,alpha.12.1,alpha.13.1,alpha.14.1,alpha.15.1,alpha.16.1,alpha.17.1,alpha.18.1,alpha.19.1,alpha.20.1,alpha.21.1,alpha.22.1,alpha.23.1,alpha.24.1,alpha.25.1,alpha.26.1,alpha.27.1,alpha.28.1,alpha.29.1,alpha.30.1,alpha.31.1,alpha.32.1,alpha.33.1,alpha.34.1,alpha.35.1,alpha.36.1,alpha.37.1,alpha.38.1,alpha.1.2,alpha.2.2,alpha.3.2,alpha.4.2,alpha.5.2,alpha.6.2,alpha.7.2,alpha.8.2,alpha.9.2,alpha.10.2,alpha.11.2,alpha.12.2,alpha.13.2,alpha.14.2,alpha.15.2,alpha.16.2,alpha.17.2,alpha.18.2,alpha.19.2,alpha.20.2,alpha.21.2,alpha.22.2,alpha.23.2,alpha.24.2,alpha.25.2,alpha.26.2,alpha.27.2,alpha.28.2,alpha.29.2,alpha.30.2,alpha.31.2,alpha.32.2,alpha.33.2,alpha.34.2,alpha.35.2,alpha.36.2,alpha.37.2,alpha.38.2,alpha.1.3,alpha.2.3,alpha.3.3,alpha.4.3,alpha.5.3,alpha.6.3,alpha.7.3,alpha.8.3,alpha.9.3,alpha.10.3,alpha.11.3,alpha.12.3,alpha.13.3,alpha.14.3,alpha.15.3,alpha.16.3,alpha.17.3,alpha.18.3,alpha.19.3,alpha.20.3,alpha.21.3,alpha.22.3,alpha.23.3,alpha.24.3,alpha.25.3,alpha.26.3,alpha.27.3,alpha.28.3,alpha.29.3,alpha.30.3,alpha.31.3,alpha.32.3,alpha.33.3,alpha.34.3,alpha.35.3,alpha.36.3,alpha.37.3,alpha.38.3
# Adaptation terminated
# Step size = 0.00832756
# Diagonal elements of inverse mass matrix:
# 0.00520715, 0.000166669, 0.000166667, 0.00016667, 0.00016667, 0.000166668, 0.00016667, 0.000166668, 0.00180413, 0.000166839, 0.000166668, 0.000166669, 0.000166668, 0.000166668, 0.000166668, 0.000166668, 0.000166748, 0.000166722, 0.000166667, 0.000166718, 0.000166704, 0.000166668, 0.000166686, 0.000166683, 0.000166669, 0.000166712, 0.00016667, 0.000166668, 0.00016667, 0.000166674, 0.000166668, 0.000166685, 0.000166679, 0.000166671, 0.000166722, 0.000166674, 0.000166668, 0.000166673, 0.000166667, 0.00016667, 0.000166682, 0.00016667, 0.000166668, 0.000166669, 0.00016667, 0.000166668, 0.000166669, 0.000166669, 0.000166671, 0.000166708, 0.000166681, 0.000166669, 0.000166732, 0.00016675, 0.000166668, 0.000166688, 0.000166702, 0.000166668, 0.00016667, 0.000166672, 0.000166668, 0.000166668, 0.000166668, 0.000166669, 0.000166721, 0.000166705, 0.00016667, 0.000166671, 0.000166674, 0.000166667, 0.000166703, 0.000166695, 0.00016667, 0.000166669, 0.000166667, 0.000166668, 0.000166672, 0.000166677, 0.000166668, 0.000166667, 0.000166672, 0.000166669, 0.000166677, 0.000166672, 0.000166669, 0.000166675, 0.000166691, 0.000166669, 0.000166668, 0.000166672, 0.000166668, 0.000166669, 0.000166669, 0.000166669, 0.000166669, 0.000166669, 0.00016667, 0.000166683, 0.000166686, 0.000166683, 0.000166672, 0.000166671, 0.000166669, 0.000166669, 0.000166669, 0.000166668, 0.000166668, 0.000166668, 0.000166668, 0.000166667, 0.000166669, 0.000166669, 0.00016667, 0.000166668, 0.000166669, 0.000166668, 0.00016667, 0.00016667, 0.000166668, 0.000166667, 0.00016667, 0.000166669, 0.000166668, 0.000166668, 0.000166694, 0.000166677, 0.000166673, 0.000166794, 0.000166671, 0.000166667, 0.00016668, 0.000167917, 0.000166667
-7915.33,0.999836,0.00832756,8,255,0,10687,-0.0502793,-1.3737,0.14105,-1.71979,0.437325,0.596369,1.79009,-1.63517,-6.45504,-0.0255976,1.43904,-0.790142,-0.686574,-0.700881,0.549235,1.11488,1.65836,0.717921,0.533723,-1.11994,-1.16969,-1.20063,1.20342,-0.123791,0.0780942,-1.88753,-1.23671,1.28277,0.572791,1.42891,-1.22701,-1.38465,-1.67989,-1.24411,-1.92884,-0.767748,-0.304932,0.61342,0.841572,1.57379,-0.880657,0.0148134,1.44784,1.03131,0.119306,-1.35282,1.18776,1.13294,-1.78417,-1.82695,0.514375,0.103054,1.93787,0.544604,1.01421,-1.21741,-1.50753,0.79612,-0.80879,-1.79204,-1.08835,-1.36163,-0.665691,-1.12834,-0.849157,-1.08519,-1.02167,-0.85618,0.388213,0.609593,-1.21173,-0.812089,-1.32989,-0.249482,1.70512,1.95895,-0.120189,-1.83213,-0.722906,-0.493368,1.4921,-1.63188,-0.53903,0.101954,-0.104611,-0.567131,0.733183,0.165063,-0.283167,-0.389403,0.974164,0.330603,0.573381,0.920405,1.88872,-0.373502,1.47328,-1.34006,1.66676,0.351677,-0.594094,0.753775,0.722967,0.878231,-0.583504,1.49539,-0.810168,-1.25248,-1.33761,1.60218,0.126544,0.292073,-1.03756,-0.408836,-0.322034,0.0501459,1.38843,1.76694,-0.901012,-1.06121,-0.903422,-0.353436,-1.9836,0.372432,0.336549,-1.45296,1.33863,1,0.761563,0.955455,0,0.648091,-0.220763,0,0,0.195882,2.82127,1.36395,4.02828,4.39645,-1.64082,5.01522,-2.82309,3.73171,-4.98868,1.95255,-3.56993,-5.10524,2.06717,-2.14802,3.24616,3.68754,-4.81776,5.8038,-3.09808,-1.94526,-3.50497,-2.05915,-2.07896,-3.08206,-0.367307,-0.00253566,-1.05537,-1.1842,-1.26348,-0.46234,1.26927,5.66514,-3.44412,-1.33955,2.81427,-1.94915,4.85672,-2.59068,0.478024,-2.20545,-0.660588,-0.65664,-1.69548,0.90425,-3.65024,-0.312356,-4.5068,0.405124,-4.37621,-4.13517,-0.0718589,-2.35463,-0.276235,0.782286,-2.89598,1.04138,-4.05012,-3.87718,-3.45577,-3.29427,-1.99913,-3.42948,-0.204836,-3.19734,-0.646475,-1.92274,-1.39395,-2.09131,-0.602702,0.178756,-1.37157,-1.40375,-1.05651,-3.40165,0.323136,-2.8921,-0.173544,-3.32694,-3.57352,7.03816,-0.967669,7.50408,-2.879,6.14209,-3.81418,1.3043,-3.47845,-5.64304,4.19301,-0.921605,4.13443,3.49478,-6.06911,9.11314,-1.37813,-1.0394,-4.2004,-1.77075,-1.8209,-3.6523,0.407798,1.93493,-3.17484,-0.909221,-1.36594,1.36374,2.82742,10.1027,-5.02379,-1.0478,6.41767,-1.72121,7.62308,-2.54529,1.69114,-1.89835,2.03619
-7793.71,0.999263,0.00832756,8,255,0,7980.24,-0.0484331,-1.36975,0.137483,-1.71472,0.449988,0.592192,1.79073,-1.64801,-6.54828,-0.0254722,1.4339,-0.795818,-0.689111,-0.699511,0.554621,1.10065,1.65389,0.718684,0.52879,-1.11957,-1.17627,-1.19222,1.20089,-0.118712,0.0687197,-1.88624,-1.22874,1.28614,0.57523,1.43318,-1.22859,-1.38851,-1.67526,-1.25098,-1.92818,-0.76222,-0.305801,0.622731,0.852833,1.57596,-0.881995,0.0112865,1.45866,1.03099,0.119482,-1.35742,1.17648,1.14022,-1.78291,-1.8131,0.507619,0.0964446,1.94453,0.546892,1.02948,-1.21112,-1.50286,0.789811,-0.810165,-1.79175,-1.08538,-1.35988,-0.651217,-1.13221,-0.851151,-1.07839,-1.00808,-0.868298,0.385172,0.605904,-1.21472,-0.827234,-1.31988,-0.241715,1.70297,1.95717,-0.112129,-1.83574,-0.723514,-0.491016,1.48424,-1.64034,-0.545588,0.10307,-0.112021,-0.570954,0.729015,0.16145,-0.282132,-0.390754,0.979024,0.332523,0.574935,0.916889,1.88771,-0.373462,1.47754,-1.34383,1.66914,0.342061,-0.604982,0.753094,0.7325,0.889192,-0.584163,1.49108,-0.81619,-1.2523,-1.33613,1.60899,0.120202,0.294088,-1.04084,-0.403372,-0.324645,0.0442836,1.3917,1.77615,-0.906458,-1.05161,-0.896959,-0.342934,-1.97698,0.368871,0.33385,-1.44009,1.33873,1,0.754163,0.956182,0,0.656688,-0.219857,0,0,0.193336,2.83233,1.30444,4.03455,4.39513,-1.64739,5.01822,-2.83714,3.73516,-5.0086,1.96309,-3.59887,-5.12739,2.09763,-2.16425,3.25395,3.66603,-4.80145,5.84141,-3.09645,-1.9608,-3.51777,-2.07689,-2.12545,-3.10662,-0.350765,0.0162654,-1.05687,-1.21143,-1.28328,-0.46524,1.27566,5.68046,-3.47231,-1.37966,2.85233,-1.97787,4.89103,-2.61414,0.459276,-2.23353,-0.637451,-0.711185,-1.65315,0.802566,-3.54908,-0.360401,-4.34825,0.353469,-4.24109,-3.98988,-0.096935,-2.2981,-0.323501,0.694003,-2.78892,0.941327,-3.91891,-3.77193,-3.33572,-3.20118,-1.96435,-3.34369,-0.219106,-3.12291,-0.651727,-1.88853,-1.37729,-2.05237,-0.620478,0.0970434,-1.3323,-1.39014,-1.06574,-3.31575,0.245726,-2.80956,-0.204387,-3.23264,-3.47095,7.03878,-0.993253,7.49404,-2.86689,6.13038,-3.8448,1.32823,-3.50762,-5.66216,4.21388,-0.936027,4.15124,3.4752,-6.03085,9.1582,-1.38436,-1.04399,-4.21287,-1.77457,-1.88,-3.64312,0.422312,1.97015,-3.15156,-0.944828,-1.3846,1.3606,2.82674,10.1049,-5.0592,-1.0918,6.45027,-1.74134,7.6686,-2.57201,1.66052,-1.92502,2.05713
-6728.41,0.999561,0.00832756,9,511,0,7867.24,-0.0415646,-1.38657,0.0981043,-1.66052,0.443725,0.589625,1.76211,-1.57665,-6.1291,-0.0465102,1.42945,-0.862524,-0.751702,-0.72008,0.550021,1.03899,1.60584,0.704402,0.554233,-1.11015,-1.08462,-1.23838,1.18672,-0.12476,0.0517557,-1.85857,-1.1796,1.25033,0.587194,1.46798,-1.24212,-1.31223,-1.71108,-1.26524,-1.85015,-0.775663,-0.342951,0.616618,0.896225,1.54688,-0.842857,0.0480161,1.4975,1.07831,0.139569,-1.38315,1.18415,1.06997,-1.78058,-1.73983,0.513178,0.0418395,1.91748,0.52639,1.01323,-1.1755,-1.48098,0.79632,-0.809975,-1.71917,-1.06499,-1.24848,-0.683975,-1.11204,-0.858987,-1.086,-0.971908,-0.900881,0.360589,0.619728,-1.26636,-0.839466,-1.31382,-0.296384,1.657,1.95283,-0.104486,-1.83576,-0.74138,-0.500697,1.4825,-1.68876,-0.490475,0.0974373,-0.0361224,-0.539954,0.715248,0.143192,-0.292667,-0.32954,1.01984,0.378938,0.51965,0.958834,1.80842,-0.417861,1.4518,-1.36222,1.62191,0.344082,-0.653119,0.707891,0.76803,0.959205,-0.56784,1.51091,-0.841271,-1.2184,-1.35777,1.54424,0.15644,0.277652,-1.03047,-0.482835,-0.326408,0.0793685,1.45731,1.75204,-0.970549,-1.0691,-0.919388,-0.378865,-1.9733,0.277596,0.326897,-1.08169,1.40454,1,0.707608,0.957267,0,0.706605,-0.214188,0,0,0.194327,2.83677,0.608298,3.94585,4.38192,-1.7158,4.88229,-2.82233,3.69335,-4.94543,1.99263,-3.3956,-4.92154,2.0761,-2.06409,3.3858,3.68605,-4.60861,5.76633,-3.00772,-1.97081,-3.21476,-2.10985,-2.22869,-3.26548,-0.513876,0.0304947,-1.09346,-1.06447,-1.20483,-0.503332,1.40186,5.45697,-3.53741,-1.52585,3.04794,-2.05959,4.70754,-2.59629,0.552047,-2.42632,-0.747853,-0.837133,-1.15522,-0.0877029,-2.02573,-0.624503,-2.3887,-0.197959,-2.38199,-2.21146,-0.43105,-1.42384,-0.557553,-0.112086,-1.61,-0.030078,-2.22423,-2.16928,-1.91307,-1.91822,-1.31447,-1.9876,-0.497039,-1.91572,-0.659987,-1.25092,-1.00667,-1.34931,-0.695218,-0.482883,-0.970898,-1.05854,-0.912882,-1.9675,-0.349748,-1.73277,-0.421135,-1.95897,-2.09294,6.95649,-0.98354,7.29983,-2.82164,6.03219,-3.66003,1.42941,-3.07611,-5.19131,4.16233,-0.671449,4.29902,3.60774,-5.56885,8.97935,-1.17333,-1.01858,-3.58591,-1.66747,-1.82785,-3.67674,0.382014,1.99289,-3.03456,-0.558146,-1.12969,1.35958,3.13191,9.70175,-4.84782,-1.0718,6.66614,-1.78452,7.31817,-2.32998,1.81613,-2.06287,1.85407
-5973.07,0.969948,0.00832756,9,511,0,6804.92,-0.0324363,-1.35152,0.150425,-1.6247,0.413012,0.578485,1.71027,-1.57945,-4.78995,-0.0529205,1.42878,-0.833555,-0.824698,-0.698167,0.529109,1.00562,1.6054,0.763642,0.518323,-1.09393,-1.13194,-1.28155,1.14462,-0.0730096,0.0558949,-1.8328,-1.18132,1.25856,0.554454,1.52916,-1.2262,-1.31861,-1.70425,-1.25635,-1.80757,-0.774861,-0.340677,0.631867,0.868298,1.52455,-0.852741,0.00786135,1.48414,1.05896,0.0890749,-1.41991,1.13968,1.01391,-1.72627,-1.70169,0.610282,0.0219191,1.90804,0.511696,1.03847,-1.16824,-1.44541,0.80133,-0.778283,-1.64965,-1.0177,-1.24172,-0.673417,-1.12811,-0.844792,-1.05424,-0.935518,-0.873646,0.378405,0.634505,-1.28515,-0.830096,-1.32123,-0.283537,1.69832,1.88673,-0.145803,-1.8259,-0.775672,-0.53695,1.5085,-1.71447,-0.48581,0.0984984,-0.0218709,-0.637432,0.633278,0.138876,-0.340153,-0.366523,0.974956,0.341904,0.509831,0.963834,1.77244,-0.436173,1.47819,-1.38605,1.58525,0.339594,-0.673586,0.682166,0.718369,0.986573,-0.540111,1.46906,-0.777642,-1.16921,-1.32602,1.59504,0.173234,0.272799,-1.05877,-0.457943,-0.338263,0.0738152,1.48517,1.74927,-0.949731,-1.05887,-0.929047,-0.357804,-1.98869,0.270353,0.328833,-0.788255,1.39687,1,0.683578,0.95803,0,0.729878,-0.21943,0,0,0.184471,3.01501,0.426832,3.97354,4.6366,-1.77615,5.16913,-2.96936,3.77986,-5.19708,2.00051,-3.64679,-5.121,2.23392,-2.24219,3.52161,3.76497,-4.80177,6.08159,-3.19343,-2.01769,-3.41496,-2.21822,-2.30521,-3.54591,-0.526033,-0.110764,-1.29008,-1.13589,-1.59303,-0.696729,1.35968,5.67274,-3.85013,-1.70203,3.30335,-2.01576,5.1379,-2.86337,0.551386,-2.53461,-0.749948,-0.631059,-0.827126,-0.0819409,-1.46007,-0.477032,-1.69104,-0.150093,-1.70392,-1.55705,-0.333388,-1.03461,-0.451529,-0.139861,-1.09464,-0.0721287,-1.57941,-1.52926,-1.36035,-1.36318,-0.925275,-1.42183,-0.341898,-1.39963,-0.474971,-0.899316,-0.776952,-1.00169,-0.529667,-0.406989,-0.698807,-0.772271,-0.668664,-1.3794,-0.268896,-1.23984,-0.304034,-1.39524,-1.5122,6.95816,-0.985107,7.22236,-2.71988,5.85879,-3.62765,1.27545,-3.05774,-5.05823,4.16265,-0.768303,4.30962,3.58596,-5.59711,8.97538,-1.20272,-0.873497,-3.56982,-1.58559,-1.79374,-3.7401,0.219699,1.86528,-3.21917,-0.554414,-1.48005,1.1362,2.96038,9.60794,-5.01279,-1.23554,6.70026,-1.51596,7.51774,-2.48229,1.66514,-1.97629,1.96692
-5648.99,0.964238,0.00832756,9,511,0,6039.85,-0.024229,-1.35686,0.150482,-1.59301,0.394954,0.568461,1.72035,-1.57788,-4.89723,-0.0573664,1.42365,-0.826371,-0.824645,-0.683788,0.520256,0.99322,1.59993,0.783912,0.519456,-1.09652,-1.13881,-1.3142,1.10387,-0.0555954,0.0484476,-1.83025,-1.15768,1.25162,0.548236,1.51588,-1.21546,-1.32662,-1.71732,-1.28324,-1.792,-0.772451,-0.31524,0.648747,0.879922,1.53819,-0.853917,-0.0127318,1.48246,1.03311,0.0705641,-1.43163,1.17447,1.01434,-1.735,-1.68426,0.618291,-0.000128649,1.91047,0.512546,1.04944,-1.17885,-1.45751,0.796817,-0.763054,-1.67444,-1.04081,-1.25602,-0.673838,-1.11164,-0.877877,-1.04203,-0.939018,-0.863615,0.402423,0.607406,-1.27464,-0.819189,-1.33551,-0.273461,1.6564,1.89873,-0.133907,-1.81131,-0.771056,-0.532678,1.51443,-1.72673,-0.475725,0.125579,-0.0176714,-0.627289,0.640433,0.11383,-0.306286,-0.369609,0.993567,0.340263,0.523968,0.956022,1.7795,-0.428517,1.45368,-1.41887,1.5793,0.353819,-0.681309,0.696336,0.716577,0.998366,-0.546809,1.44297,-0.767289,-1.18901,-1.32495,1.60353,0.162199,0.267748,-1.06777,-0.463708,-0.335404,0.088553,1.50162,1.73018,-0.964875,-1.04555,-0.93204,-0.33227,-1.97147,0.273266,0.345491,-0.612662,1.37208,1,0.681881,0.957522,0,0.731463,-0.222929,0,0,0.182905,2.9988,0.363303,3.94212,4.61472,-1.70505,5.14337,-2.94274,3.65578,-5.14307,1.98954,-3.63279,-5.02837,2.29095,-2.21523,3.44359,3.8675,-4.70528,6.07462,-3.18964,-1.94275,-3.42106,-2.28709,-2.24431,-3.47689,-0.474562,-0.0560679,-1.2519,-1.08111,-1.53562,-0.573,1.36587,5.68184,-3.90942,-1.69762,3.33939,-1.95546,5.15414,-2.85652,0.611044,-2.54797,-0.650919,-0.479585,-0.643802,-0.00799237,-1.18693,-0.353974,-1.37371,-0.0740126,-1.39767,-1.26187,-0.218115,-0.827586,-0.337978,-0.0521572,-0.865598,-0.00317552,-1.29202,-1.24666,-1.10288,-1.10705,-0.719664,-1.14612,-0.240231,-1.12718,-0.342174,-0.697142,-0.59787,-0.786759,-0.389128,-0.285703,-0.544472,-0.596396,-0.510648,-1.11871,-0.172318,-1.00041,-0.191679,-1.12954,-1.21888,6.8775,-0.950052,7.09692,-2.71369,5.62262,-3.61668,1.23292,-3.05155,-4.94059,4.15668,-0.77108,4.17746,3.66292,-5.52891,8.88973,-1.22227,-0.787133,-3.57833,-1.70293,-1.80347,-3.68229,0.253249,1.90246,-3.21453,-0.546725,-1.47647,1.25716,2.88531,9.51382,-5.11648,-1.29491,6.66155,-1.4346,7.47536,-2.49271,1.63421,-2.02319,2.04746
-4643.95,0.964727,0.00832756,9,511,0,5710.03,-0.00768478,-1.3396,0.208258,-1.61705,0.418182,0.559124,1.73833,-1.57744,-3.70013,-0.0483322,1.44662,-0.82671,-0.811139,-0.709939,0.513525,0.995859,1.57466,0.772441,0.491216,-1.05461,-1.11431,-1.28199,1.12423,-0.0420345,0.0801712,-1.78429,-1.15451,1.24048,0.59134,1.55822,-1.22842,-1.3604,-1.72556,-1.26507,-1.76638,-0.777986,-0.361903,0.625284,0.963711,1.48448,-0.808913,0.0195386,1.43544,1.00037,0.0951062,-1.46254,1.16378,0.991357,-1.78575,-1.70081,0.63588,0.00885477,1.93208,0.499573,1.0369,-1.18235,-1.45197,0.746948,-0.726077,-1.65731,-1.06759,-1.21754,-0.660514,-1.16228,-0.845568,-0.982524,-0.905243,-0.887725,0.403299,0.578118,-1.24117,-0.766504,-1.28849,-0.247661,1.69935,1.86523,-0.0918494,-1.8235,-0.759243,-0.545653,1.5437,-1.69663,-0.457075,0.110336,-0.0113997,-0.680757,0.615375,0.11098,-0.343071,-0.367897,1.0425,0.348862,0.493487,1.01425,1.76517,-0.369953,1.44934,-1.46524,1.53578,0.321782,-0.66757,0.716026,0.690744,0.927122,-0.534393,1.40156,-0.765559,-1.20793,-1.34513,1.54217,0.150247,0.280511,-1.08855,-0.411181,-0.3904,0.0603098,1.55167,1.69686,-0.984729,-1.06379,-0.906429,-0.341984,-1.95296,0.253843,0.344355,-0.168093,1.42726,1,0.659274,0.956355,0,0.751903,-0.225009,0,0,0.186427,2.81654,0.242947,3.59003,4.41883,-1.65522,4.77946,-2.62601,3.5108,-4.68117,2.00989,-3.48726,-4.63073,2.10549,-1.93398,3.16194,3.6222,-4.44606,5.78614,-2.9858,-1.70067,-3.08491,-2.03722,-2.15596,-3.15146,-0.353193,0.0856568,-1.1925,-0.943017,-1.57303,-0.62192,1.32694,5.31602,-3.78255,-1.53589,2.95563,-1.81188,4.68795,-2.7216,0.51422,-2.42918,-0.618859,-0.0874068,-0.187996,0.225222,-0.540562,0.00429502,-0.664776,0.211264,-0.701196,-0.593127,0.108101,-0.294086,0.00950808,0.199402,-0.324351,0.232623,-0.622703,-0.587132,-0.483762,-0.483006,-0.236607,-0.506908,0.102664,-0.515907,0.026503,-0.221146,-0.164716,-0.290246,-0.0220698,0.0470508,-0.122233,-0.144218,-0.117216,-0.511366,0.10636,-0.417556,0.125014,-0.52014,-0.57962,6.51895,-0.758515,6.53842,-2.15148,5.37475,-2.93598,1.37667,-2.69625,-4.25109,3.78914,-0.405087,3.80621,3.42696,-4.91994,8.35119,-0.959367,-0.441363,-2.99732,-1.28805,-1.55946,-3.07729,0.452606,2.07677,-2.82866,-0.23879,-1.33283,1.24429,2.90521,8.75655,-4.62862,-0.980833,5.98011,-1.12568,6.78844,-2.23926,1.51658,-1.70099,2.00059
