# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = benchmark_warfarin_new_model
# method = sample (Default)
#   sample
#     num_samples = 150
#     num_warmup = 150
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = benchmark-warfarin.data.R
# init = benchmark-warfarin.init.R
# random
#   seed = 6112019
# output
#   file = mac/new-warfarin-4-06112019-1.csv
#   diagnostic_file =  (Default)
#   refresh = 150
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,Eta.1.1,Eta.2.1,Eta.3.1,Eta.4.1,Eta.5.1,Eta.6.1,Eta.7.1,Eta.8.1,Eta.9.1,Eta.10.1,Eta.11.1,Eta.12.1,Eta.13.1,Eta.14.1,Eta.15.1,Eta.16.1,Eta.17.1,Eta.18.1,Eta.19.1,Eta.20.1,Eta.21.1,Eta.22.1,Eta.23.1,Eta.24.1,Eta.25.1,Eta.26.1,Eta.27.1,Eta.28.1,Eta.29.1,Eta.30.1,Eta.31.1,Eta.32.1,Eta.1.2,Eta.2.2,Eta.3.2,Eta.4.2,Eta.5.2,Eta.6.2,Eta.7.2,Eta.8.2,Eta.9.2,Eta.10.2,Eta.11.2,Eta.12.2,Eta.13.2,Eta.14.2,Eta.15.2,Eta.16.2,Eta.17.2,Eta.18.2,Eta.19.2,Eta.20.2,Eta.21.2,Eta.22.2,Eta.23.2,Eta.24.2,Eta.25.2,Eta.26.2,Eta.27.2,Eta.28.2,Eta.29.2,Eta.30.2,Eta.31.2,Eta.32.2,Eta.1.3,Eta.2.3,Eta.3.3,Eta.4.3,Eta.5.3,Eta.6.3,Eta.7.3,Eta.8.3,Eta.9.3,Eta.10.3,Eta.11.3,Eta.12.3,Eta.13.3,Eta.14.3,Eta.15.3,Eta.16.3,Eta.17.3,Eta.18.3,Eta.19.3,Eta.20.3,Eta.21.3,Eta.22.3,Eta.23.3,Eta.24.3,Eta.25.3,Eta.26.3,Eta.27.3,Eta.28.3,Eta.29.3,Eta.30.3,Eta.31.3,Eta.32.3,sigma_eta.1,sigma_eta.2,sigma_eta.3,sigma_y,kappa,R0,kin,kout,EC50,sigma_y_ref
# Adaptation terminated
# Step size = 0.172467
# Diagonal elements of inverse mass matrix:
# 0.00048262, 0.000689043, 0.00250506, 1.53411, 0.210897, 0.136086, 0.802578, 0.270715, 0.0983997, 0.508883, 0.231282, 0.0517044, 0.539906, 0.0832408, 0.172121, 0.854805, 0.385758, 0.0340073, 0.335872, 0.168229, 0.0639229, 0.188163, 0.686636, 0.0724474, 0.856059, 0.204597, 0.0404634, 1.26277, 0.320981, 0.0651915, 0.374644, 0.170321, 0.0335264, 1.15051, 0.261993, 0.0427671, 0.653153, 0.397968, 0.241072, 0.638855, 0.121094, 0.115176, 0.420313, 0.228281, 0.038711, 0.459945, 0.157797, 0.0449469, 0.503797, 0.441175, 0.0601352, 0.975925, 0.183734, 0.0809839, 0.131681, 0.270362, 0.0813303, 1.14108, 0.405874, 0.12691, 0.452812, 0.259852, 0.076832, 0.56433, 0.872201, 0.0612335, 0.770572, 0.251965, 0.0661538, 0.728092, 0.100817, 0.0641611, 0.747657, 0.455903, 0.106496, 0.723297, 0.204538, 0.0351528, 1.06112, 0.408231, 0.0830426, 0.510045, 0.415394, 0.0621763, 0.361611, 0.209175, 0.114861, 0.97345, 0.196277, 0.0286814, 1.16759, 0.097559, 0.0705907, 0.550128, 0.393538, 0.0245669, 0.406195, 0.308258, 0.0327768, 0.567577, 0.021485, 0.0155372, 0.400096, 0.0447511
-711.658,0.902044,0.172467,5,31,0,773.897,4.6215,2.8849,0.0935889,-0.373102,0.681725,1.52657,0.120098,-1.83938,-0.054291,0.712521,0.421129,-1.61003,-1.01802,0.482122,0.48191,-1.25157,-0.597626,1.23917,-1.39531,1.2834,-0.0304566,-0.251477,-0.57387,-0.289043,-0.399769,-0.902329,-0.12699,-0.379057,-0.282425,0.120966,0.323684,0.0676747,-0.0162612,0.192402,0.119993,-0.36649,0.914894,-0.417311,1.07507,0.557506,0.412387,-0.676227,-0.458922,0.385507,-0.19791,0.511104,-1.81474,2.71811,-0.985656,0.404432,-0.626108,0.635319,0.118969,2.64439,0.182261,-1.85023,-1.77766,0.115641,-1.09125,-0.57901,1.76472,-2.65374,0.857475,-0.368559,0.751852,0.567637,0.731199,0.274291,0.862197,0.732431,-2.57032,0.62295,-1.44316,0.706461,-0.593757,0.0366532,0.0149068,-1.06839,-0.0447536,-1.29067,-0.502101,0.182277,1.96247,-0.943002,-0.823767,-1.21742,0.761554,0.999238,1.5867,-0.505582,1.64317,0.0781304,-0.230484,1.15272,-0.629551,0.496299,0.648975,1.11498,-0.122943,0.0359195,0.0809472,0.403504,1.93035,0.143996,101.646,5.67799,0.0558602,1.09811,3.26663
-709.04,0.872718,0.172467,5,31,0,760.406,4.59635,2.90886,0.16101,0.947022,0.24556,0.190511,-0.868629,0.161383,-0.083174,0.555427,-0.204749,-0.436394,-0.241174,1.41038,-0.355071,-0.179656,-0.414968,-0.078525,1.11108,-0.998618,-0.144506,-1.71754,1.5418,0.926209,1.11352,0.126929,-1.87123,2.4648,0.896046,0.0671822,0.358541,-1.07166,-0.915733,0.188709,0.903597,0.100413,-0.206583,-0.652977,1.11896,0.101348,0.858733,-0.877216,-1.11602,0.13498,0.294687,0.387566,-1.77308,2.06655,0.072493,0.232755,0.390701,-0.0967569,1.35117,1.57566,0.22369,1.88809,-1.48392,0.203464,-2.59582,-1.10678,1.65357,-1.76976,1.93477,-1.13828,1.02943,0.686717,0.508636,-0.669315,1.03015,0.834628,-1.52267,0.123174,-1.3079,0.660114,-0.162744,-0.274784,0.150477,-0.703962,-1.78382,-1.28085,-0.286738,-0.636023,1.63104,-0.312995,-1.48469,-1.71856,0.676338,0.838458,1.21164,-0.318355,1.24239,0.461979,-0.295466,1.2648,-1.21774,0.56345,1.09349,1.00262,0.138385,0.0154135,0.114783,0.453286,2.22067,0.123027,99.1218,5.40591,0.054538,1.1747,3.61382
-703.71,0.981344,0.172467,5,31,0,763.046,4.61642,2.91726,0.0202721,1.13961,-1.42596,-0.026461,0.182327,0.575559,-0.102755,-0.49709,0.45881,-1.57187,0.263273,1.17022,-0.230944,0.228601,0.0917993,-0.241994,-0.859409,0.732151,-0.281159,0.619886,-1.15729,-0.880284,-1.75862,0.515961,1.66803,-1.57243,0.274757,0.0976502,-0.280375,-0.313883,-1.03787,-0.415679,-0.331429,0.925986,2.9935,-0.73132,0.92485,-0.636015,1.63782,-0.819479,0.0747284,-0.516012,-0.470974,0.106396,-2.07482,-0.0935485,-1.29207,0.487685,-0.304702,0.7861,-0.692784,0.924932,1.04478,-0.0222904,0.0915765,0.421305,-1.29024,-0.126028,0.818613,-0.925422,-0.0669004,-0.240611,-0.288425,-0.239695,1.19503,-0.538419,0.831044,1.09229,-1.93889,0.372448,-1.30381,1.13544,-0.368106,0.0485405,0.132497,-0.49615,-1.62303,-0.909362,0.174337,-0.0891675,2.07993,-0.381277,-0.878412,-1.72898,0.977464,1.9558,1.69309,-0.219382,1.19584,0.753229,0.305966,1.52288,-0.600819,0.834775,1.50541,1.13224,0.205579,0.0208756,0.0958955,0.434831,0.575898,0.113392,101.132,5.4694,0.0540819,1.02048,3.025
-701.317,1,0.172467,5,31,0,754.631,4.56143,2.87964,-0.0124858,-1.30776,1.36425,0.351474,-0.0797207,0.572517,-0.518484,0.363765,0.441899,2.53444,0.24718,-0.844905,-0.589886,-0.112392,-0.323967,1.99758,-0.683591,-0.575242,-0.552783,-0.0249047,0.0652248,-0.315642,0.596259,-0.263597,-0.688582,1.18386,0.198193,1.10304,-0.28584,-0.59568,0.967549,0.316705,0.196569,0.31116,1.44855,-0.799913,1.27388,0.326874,0.429526,-0.637753,-0.105882,-0.227033,-0.684398,0.304129,-0.0800448,1.41171,-0.0922255,-0.969515,0.631008,0.50999,1.23166,1.32598,1.59965,-0.334526,-0.0434194,-0.877864,-2.22307,-0.575356,0.894437,-1.55278,1.53121,-0.128819,0.555223,1.42352,0.752421,0.5197,1.00162,1.6085,-1.96608,0.558974,-0.859051,1.45209,-0.195901,-0.044868,0.626164,-0.259637,-1.31324,-1.42594,0.0484471,0.375236,2.34327,-0.347202,-0.55427,-1.20535,1.02464,1.18501,1.95933,-0.140788,2.15328,0.787773,0.210476,1.35635,-0.447146,0.90761,0.902793,1.57168,0.917253,0.00917238,0.121708,0.442265,0.592437,0.110174,95.7206,5.37519,0.056155,0.987592,3.07043
-709.631,0.861364,0.172467,5,31,0,761.42,4.57367,2.89221,-0.00970777,0.0200431,-1.81441,-0.880212,1.85174,-0.132173,0.549403,0.874179,-0.351143,-0.961669,-1.74858,1.1734,0.771697,1.87169,0.584296,0.0300055,-0.144569,2.18031,-0.782525,0.0930111,1.72908,-0.26911,-0.223064,-0.0879013,1.65902,-0.717329,-0.269021,0.954116,-0.277872,-1.01531,-0.44384,0.569448,0.41939,1.0323,2.05436,-0.393365,1.79113,0.141594,1.28932,-0.747535,-0.286944,-0.340469,-0.839329,0.814886,-1.60443,1.51015,-0.142278,-0.236985,-0.468818,0.599832,-0.230502,1.49863,1.14959,-0.283265,-0.819808,0.21507,0.486959,-0.683857,1.21541,-0.233335,1.43094,-0.492389,0.178809,1.61573,1.94797,0.683095,1.23168,1.27961,-1.62404,0.665095,-1.1336,1.20884,-0.0593837,0.127036,0.418075,-0.543369,-1.23597,-0.946737,0.0250717,-0.0876502,2.21175,-0.717706,-0.75588,-1.44006,0.909507,1.77051,1.60594,-0.213591,1.32825,0.490897,0.453026,1.65272,-0.855371,0.834484,1.62011,1.43001,0.185001,0.0145936,0.088695,0.470473,0.438364,0.0867897,96.8992,5.37339,0.0554534,0.990339,3.42261
-701.123,0.999167,0.172467,5,31,0,755.226,4.57337,2.88111,-0.0267527,0.0492238,-1.75341,-0.284037,0.566282,0.41215,0.359112,1.10855,-0.195916,-0.163922,0.689117,-0.565869,-1.81703,-0.175118,0.416462,1.38119,0.695063,-0.130604,-1.51013,1.07478,0.599327,-1.08004,0.38318,0.461821,-1.54717,0.720305,0.972309,-0.646199,1.32448,0.194037,0.828177,0.0368575,-2.07609,0.746302,1.73725,-0.0483225,1.88226,-0.0793351,2.15654,-0.173842,-0.156387,-0.960461,0.0667898,0.168532,-0.960619,0.546109,0.0595345,0.526037,0.61699,1.09628,-0.153594,1.65037,0.36216,0.541055,-0.254024,0.107627,-0.434111,-0.39362,1.9103,-1.62923,1.43146,-0.543682,0.358619,1.35611,1.5809,-0.0877201,1.4913,1.38063,-2.06712,0.456189,-1.23444,1.57524,0.195318,0.352993,0.242365,-0.330997,-0.722431,-1.36181,-0.217548,0.431315,1.97541,-0.224274,-0.370819,-1.36255,1.34023,1.27801,1.88667,-0.177269,2.09095,0.677747,-0.167012,1.46856,-0.473958,1.03892,1.59862,1.31662,0.299775,0.00816924,0.114981,0.415281,0.143961,0.108191,96.87,5.43177,0.0560727,0.973602,3.04362
