# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 0
# model = benchmark_warfarin_old_model
# method = sample (Default)
#   sample
#     num_samples = 150
#     num_warmup = 150
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = benchmark-warfarin.data.R
# init = benchmark-warfarin.init.R
# random
#   seed = 3172019
# output
#   file = mac/old-4-3172019-3.csv
#   diagnostic_file =  (Default)
#   refresh = 150
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,Eta.1.1,Eta.2.1,Eta.3.1,Eta.4.1,Eta.5.1,Eta.6.1,Eta.7.1,Eta.8.1,Eta.9.1,Eta.10.1,Eta.11.1,Eta.12.1,Eta.13.1,Eta.14.1,Eta.15.1,Eta.16.1,Eta.17.1,Eta.18.1,Eta.19.1,Eta.20.1,Eta.21.1,Eta.22.1,Eta.23.1,Eta.24.1,Eta.25.1,Eta.26.1,Eta.27.1,Eta.28.1,Eta.29.1,Eta.30.1,Eta.31.1,Eta.32.1,Eta.1.2,Eta.2.2,Eta.3.2,Eta.4.2,Eta.5.2,Eta.6.2,Eta.7.2,Eta.8.2,Eta.9.2,Eta.10.2,Eta.11.2,Eta.12.2,Eta.13.2,Eta.14.2,Eta.15.2,Eta.16.2,Eta.17.2,Eta.18.2,Eta.19.2,Eta.20.2,Eta.21.2,Eta.22.2,Eta.23.2,Eta.24.2,Eta.25.2,Eta.26.2,Eta.27.2,Eta.28.2,Eta.29.2,Eta.30.2,Eta.31.2,Eta.32.2,Eta.1.3,Eta.2.3,Eta.3.3,Eta.4.3,Eta.5.3,Eta.6.3,Eta.7.3,Eta.8.3,Eta.9.3,Eta.10.3,Eta.11.3,Eta.12.3,Eta.13.3,Eta.14.3,Eta.15.3,Eta.16.3,Eta.17.3,Eta.18.3,Eta.19.3,Eta.20.3,Eta.21.3,Eta.22.3,Eta.23.3,Eta.24.3,Eta.25.3,Eta.26.3,Eta.27.3,Eta.28.3,Eta.29.3,Eta.30.3,Eta.31.3,Eta.32.3,sigma_eta.1,sigma_eta.2,sigma_eta.3,sigma_y,kappa,R0,kin,kout,EC50,sigma_y_ref
# Adaptation terminated
# Step size = 0.145882
# Diagonal elements of inverse mass matrix:
# 0.000480809, 0.000653201, 0.00885324, 0.813532, 0.356679, 0.0439248, 0.871967, 0.122349, 0.0464936, 0.322771, 0.274941, 0.130666, 0.913031, 0.232325, 0.0843719, 0.538134, 0.656535, 0.0630699, 0.474817, 0.158319, 0.0584067, 1.14043, 0.368035, 0.11868, 0.216122, 0.219928, 0.0384535, 0.731449, 0.329937, 0.0861198, 0.624342, 0.414949, 0.0779097, 1.02837, 0.200371, 0.0398368, 0.8148, 0.322085, 0.231663, 0.674211, 0.215029, 0.0898937, 0.666772, 0.431776, 0.127706, 0.500559, 0.194574, 0.0685841, 0.532552, 0.570278, 0.0811357, 0.709115, 0.0964262, 0.0565798, 0.600186, 0.232253, 0.0770508, 0.894167, 0.393636, 0.0800686, 0.758384, 0.58272, 0.187967, 1.11286, 0.798311, 0.109847, 0.37627, 0.287561, 0.0957445, 0.750826, 0.3617, 0.0782525, 1.1505, 0.516296, 0.0965892, 0.33697, 0.540138, 0.106275, 0.590144, 0.389469, 0.0808067, 0.499484, 0.166416, 0.0680884, 0.753872, 0.188358, 0.0607328, 0.364337, 0.630754, 0.0642352, 0.77717, 0.380641, 0.0902207, 0.631662, 0.666753, 0.0841786, 1.08101, 0.304716, 0.0728412, 0.659589, 0.0462896, 0.0123066, 0.823998, 0.038883
-688.835,0.99847,0.145882,5,31,0,754.941,4.61582,2.88285,0.0379505,-0.114907,0.142362,-0.29908,-0.173576,-2.32512,-0.98155,0.996252,0.468578,2.03574,-0.968517,0.64195,-2.25517,-1.58331,-0.544112,0.760354,-0.272301,-1.26243,0.621437,-0.280589,0.485032,0.28264,0.401662,0.596405,-0.0921079,0.408225,-1.19658,0.00010355,1.05029,-0.915825,0.652147,1.17426,-1.27181,0.113472,0.317623,-1.45312,0.957407,0.489949,1.76951,-0.0742908,-0.234589,-1.18765,-0.215389,0.594203,-1.35227,0.884351,-0.712405,-0.305826,-1.25169,0.414313,0.513057,0.80373,0.275527,-0.353148,-0.565917,-0.238291,-1.59811,-1.39958,1.11865,-1.42179,0.457267,-0.11141,0.613372,1.1568,1.31947,-0.250316,0.8368,1.37962,-1.65727,0.780838,-1.65912,0.594945,-0.119693,-0.483185,0.466247,-0.887908,-0.895349,-1.12027,0.0189283,0.0415328,2.14804,-0.0430907,-1.44213,-1.22087,0.936117,1.173,1.48467,-0.464431,1.39675,0.50191,-0.183166,1.03018,-0.904701,0.815223,0.612747,0.988829,0.317107,0.0520402,0.147782,0.459799,1.06989,0.135384,101.071,5.65742,0.0559749,1.03868,2.9208
-685.64,0.978968,0.145882,5,31,0,727.794,4.58225,2.91324,0.122568,-0.294711,-0.420908,0.526799,0.298644,0.353006,-0.23859,0.926573,-0.908207,-2.11719,0.706946,-0.603034,-0.118021,-0.354644,-0.656664,0.187316,1.19225,1.20927,-0.853232,0.353215,-0.0826392,0.242601,-0.271151,-0.365029,-0.908178,-1.63421,0.650302,-0.846125,-1.74643,1.22219,-0.189605,0.190082,0.713331,1.08385,1.15894,-0.217067,0.217499,0.645291,-0.0768449,-1.7188,-0.93746,0.0444991,0.207771,-0.307436,-1.44773,0.799884,-0.186881,0.467929,0.400819,-0.203174,-0.636255,1.03745,-0.0440736,-0.0583459,-1.46017,0.656911,-2.04916,-0.335465,0.0746098,-1.80324,1.37213,-1.66874,-0.498092,0.935318,0.190592,-0.365651,0.564884,0.724969,-1.46657,-0.0546418,-1.08014,0.84717,-0.302299,0.21235,-0.0915169,-0.315732,-0.555097,-1.34949,0.00188865,-0.215597,1.2399,-0.904299,-0.78126,-1.52496,0.737916,0.757627,1.51752,-0.405939,1.32178,0.423414,-0.166901,0.845826,-0.669169,0.700063,0.884237,1.10107,-0.04833,0.0183183,0.15322,0.512393,2.29169,0.203284,97.7342,5.30693,0.0542996,1.1304,3.18921
-695.1,0.810787,0.145882,5,31,0,740.946,4.59365,2.96886,0.0947544,1.59502,0.253932,0.640584,-0.0818361,-0.296878,-0.0642163,-0.0844538,-0.70726,-0.610237,0.50594,1.79706,-0.47246,-1.51345,0.212638,-1.36727,0.206294,-0.138039,0.878214,-1.95234,0.335601,0.86108,-0.693238,-0.680822,0.0510126,-0.378044,1.47986,-0.14099,1.063,-0.321085,-0.102399,-2.07901,-0.811342,0.490921,0.656221,-0.943207,-0.171636,-0.124879,-0.0333596,-1.76042,-0.114581,-1.17095,-0.708069,0.149679,-1.4746,1.06819,-1.18028,0.0214403,-0.612387,0.154707,-1.33172,0.636318,0.79779,-0.47721,-1.65458,-0.795159,-2.16752,-1.88873,1.64622,-1.35097,0.423475,-0.993055,0.434497,0.0106527,0.209652,-0.22768,0.785531,0.883305,-1.43408,0.418132,-1.34968,1.15483,0.0102282,-0.648121,0.00748474,-0.747188,-1.16109,-0.958705,-0.0115893,0.211965,1.63123,-0.279165,-0.870235,-1.26279,0.437378,1.13998,1.29917,-0.459498,1.2407,0.406346,0.00487136,1.41485,-1.03592,0.262585,0.637582,1.08169,0.340677,0.0103209,0.119325,0.524431,2.4767,0.223498,98.8542,5.07732,0.0513617,1.09939,3.25705
-698.704,0.849467,0.145882,5,31,0,744.291,4.57933,2.948,0.0631189,-0.205196,1.02309,0.209133,0.263122,0.0949254,-0.266957,-0.0181701,-0.504299,0.0144521,-0.753607,-0.0989752,-1.78456,-0.917241,0.289732,-0.383974,0.490978,-1.87324,0.362811,0.717215,0.409014,-2.12635,-0.254234,-0.670686,1.50962,-1.10656,1.83968,-0.913799,0.165083,-0.00255612,1.94127,0.483399,-0.80808,0.675204,1.06321,-1.76101,0.0173221,0.292141,0.736295,-1.81674,-0.504999,0.243907,0.129103,0.422172,-1.1162,0.448955,-0.473546,-1.20423,-0.697276,0.52815,-0.552756,0.610285,0.208488,-0.791392,-1.40146,-0.467559,-2.92524,-0.702992,-0.101369,-0.953919,0.0634583,-0.663241,0.267793,1.20239,1.40305,-0.216556,0.934834,0.929794,-1.37338,0.0343275,-0.798028,0.860049,-0.239868,0.261699,0.20182,-0.928861,-0.622656,-1.02328,-0.246943,-0.00483807,1.55453,-0.671041,-0.955799,-1.2163,0.53408,0.95923,1.40092,-0.180181,1.35976,0.713558,-0.233473,0.841783,-0.333184,0.550855,0.733973,0.692928,-0.0834321,0.0222137,0.139632,0.541163,2.52042,0.211355,97.4495,5.11067,0.0524443,1.06515,3.32925
-698.055,0.660777,0.145882,5,31,0,753.197,4.60586,2.89792,0.176311,-1.0498,-0.429988,0.470868,0.15641,1.69758,-0.628224,0.839646,-0.409643,-0.555522,0.632414,0.183147,1.62838,0.0225962,-0.690656,-0.169271,0.55657,0.777834,0.447835,-0.795716,1.1413,2.19208,-0.259189,-0.157131,-1.03392,-2.78062,0.1892,-0.222437,-0.460013,-0.508616,-1.07175,0.442145,0.446559,1.41258,2.09742,-0.173064,1.06279,-0.445135,0.0543892,-0.186544,-0.20874,-0.936476,-0.373359,1.3785,-0.904726,1.67504,-1.03252,0.511497,0.994777,0.152677,-0.223804,1.25985,0.640617,0.185911,-1.57082,0.674366,-0.91628,-0.624752,1.72745,-2.5807,1.14975,-1.59889,0.323557,-0.763276,-0.286775,-0.294307,0.255855,0.724404,-2.03223,-0.0820123,-1.74623,0.601549,-0.410562,-6.80039e-05,-0.0977131,-0.47786,-2.35031,-1.26251,-0.152116,-0.288021,1.37199,-0.560518,-1.25129,-1.77716,0.44778,0.459216,1.02181,-0.81627,1.17596,0.388296,-0.128454,0.937872,-1.08007,0.329704,0.572818,0.79736,-0.12784,0.00482413,0.103474,0.533161,2.03684,0.145775,100.069,5.5176,0.0551378,1.19281,3.31792
-697.27,0.977795,0.145882,5,31,0,752.15,4.59054,2.91153,0.111817,0.585153,0.964402,0.735944,0.30374,-0.965125,-0.419386,-0.550109,-0.494128,1.67063,-0.371821,-1.45398,-1.00829,0.215968,0.891896,1.39515,-0.962045,0.519415,0.138805,0.326666,-0.755447,-2.37874,0.744809,-0.438228,0.572668,1.70911,-0.9952,-1.01818,1.85838,0.493308,0.872908,0.624809,-0.275027,-0.183686,2.5028,-1.35012,-0.227521,0.676825,1.67306,-0.503742,-1.20618,-0.694509,-0.287933,-0.143235,-0.684793,0.342067,0.331668,1.16342,-0.178811,0.0557628,-0.028941,1.37391,-0.105022,-0.805643,-1.51463,-0.120049,-2.70559,-0.966085,0.720089,-1.21213,1.24146,-0.637167,-0.0733909,1.15795,0.256769,-0.173412,0.705005,0.765496,-1.62621,0.00808733,-1.09551,1.04291,-0.22834,-0.139159,0.0696281,-0.754762,-1.22452,-0.968503,-0.190399,-0.24211,1.50154,-0.748058,-0.840129,-1.055,0.497342,0.757379,1.25105,-0.710659,1.17452,0.400632,0.224815,0.660908,-0.580025,0.525948,0.571065,0.510645,0.234285,0.0130063,0.106388,0.577405,0.428342,0.103241,98.5477,5.36024,0.0543924,1.11831,3.14158
