os,branch,model,type,minutes,seconds,threads
mac,old,schools-4,real,0,9.012,no-thread
mac,old,schools-4,real,0,9.002,no-thread
mac,old,schools-4,real,0,9.014,no-thread
mac,old,schools-4,real,0,9.012,no-thread
mac,old,schools-4,real,0,9.003,no-thread
mac,old,schools-4,real,0,10.180,no-thread
mac,old,schools-4,real,0,9.288,no-thread
mac,old,schools-4,real,0,9.259,no-thread
mac,old,schools-4,real,0,17.803,no-thread
mac,old,schools-4,real,0,9.235,no-thread
mac,old,schools-4,sys,0,0.051,no-thread
mac,old,schools-4,sys,0,0.051,no-thread
mac,old,schools-4,sys,0,0.052,no-thread
mac,old,schools-4,sys,0,0.050,no-thread
mac,old,schools-4,sys,0,0.049,no-thread
mac,old,schools-4,sys,0,0.090,no-thread
mac,old,schools-4,sys,0,0.054,no-thread
mac,old,schools-4,sys,0,0.050,no-thread
mac,old,schools-4,sys,0,0.123,no-thread
mac,old,schools-4,sys,0,0.052,no-thread
mac,old,schools-4,user,0,8.956,no-thread
mac,old,schools-4,user,0,8.950,no-thread
mac,old,schools-4,user,0,8.962,no-thread
mac,old,schools-4,user,0,8.961,no-thread
mac,old,schools-4,user,0,8.953,no-thread
mac,old,schools-4,user,0,10.088,no-thread
mac,old,schools-4,user,0,9.233,no-thread
mac,old,schools-4,user,0,9.208,no-thread
mac,old,schools-4,user,0,16.600,no-thread
mac,old,schools-4,user,0,9.182,no-thread
mac,old,warfarin,real,4,24.940,no-thread
mac,old,warfarin,real,4,15.731,no-thread
mac,old,warfarin,real,4,21.290,no-thread
mac,old,warfarin,real,4,18.595,no-thread
mac,old,warfarin,real,4,20.609,no-thread
mac,old,warfarin,real,4,10.093,no-thread
mac,old,warfarin,real,5,10.624,no-thread
mac,old,warfarin,real,5,14.466,no-thread
mac,old,warfarin,real,4,19.338,no-thread
mac,old,warfarin,real,6,24.308,no-thread
mac,old,warfarin,sys,0,0.087,no-thread
mac,old,warfarin,sys,0,0.081,no-thread
mac,old,warfarin,sys,0,0.075,no-thread
mac,old,warfarin,sys,0,0.076,no-thread
mac,old,warfarin,sys,0,0.080,no-thread
mac,old,warfarin,sys,0,0.077,no-thread
mac,old,warfarin,sys,0,0.180,no-thread
mac,old,warfarin,sys,0,0.167,no-thread
mac,old,warfarin,sys,0,0.079,no-thread
mac,old,warfarin,sys,0,0.342,no-thread
mac,old,warfarin,user,4,24.858,no-thread
mac,old,warfarin,user,4,15.659,no-thread
mac,old,warfarin,user,4,21.224,no-thread
mac,old,warfarin,user,4,18.528,no-thread
mac,old,warfarin,user,4,20.538,no-thread
mac,old,warfarin,user,4,10.025,no-thread
mac,old,warfarin,user,5,8.372,no-thread
mac,old,warfarin,user,5,12.390,no-thread
mac,old,warfarin,user,4,19.268,no-thread
mac,old,warfarin,user,6,10.673,no-thread
mac,new,schools-4,real,0,9.236,no-thread
mac,new,schools-4,real,0,9.267,no-thread
mac,new,schools-4,real,0,9.237,no-thread
mac,new,schools-4,real,0,9.222,no-thread
mac,new,schools-4,real,0,9.232,no-thread
mac,new,schools-4,real,0,10.575,no-thread
mac,new,schools-4,real,0,9.516,no-thread
mac,new,schools-4,real,0,9.545,no-thread
mac,new,schools-4,real,0,18.360,no-thread
mac,new,schools-4,real,0,9.454,no-thread
mac,new,schools-4,sys,0,0.052,no-thread
mac,new,schools-4,sys,0,0.051,no-thread
mac,new,schools-4,sys,0,0.051,no-thread
mac,new,schools-4,sys,0,0.054,no-thread
mac,new,schools-4,sys,0,0.051,no-thread
mac,new,schools-4,sys,0,0.073,no-thread
mac,new,schools-4,sys,0,0.054,no-thread
mac,new,schools-4,sys,0,0.053,no-thread
mac,new,schools-4,sys,0,0.125,no-thread
mac,new,schools-4,sys,0,0.051,no-thread
mac,new,schools-4,user,0,9.180,no-thread
mac,new,schools-4,user,0,9.215,no-thread
mac,new,schools-4,user,0,9.185,no-thread
mac,new,schools-4,user,0,9.168,no-thread
mac,new,schools-4,user,0,9.180,no-thread
mac,new,schools-4,user,0,10.498,no-thread
mac,new,schools-4,user,0,9.462,no-thread
mac,new,schools-4,user,0,9.491,no-thread
mac,new,schools-4,user,0,17.144,no-thread
mac,new,schools-4,user,0,9.402,no-thread
mac,new,warfarin,real,4,23.013,no-thread
mac,new,warfarin,real,4,15.796,no-thread
mac,new,warfarin,real,4,20.598,no-thread
mac,new,warfarin,real,4,26.821,no-thread
mac,new,warfarin,real,4,17.102,no-thread
mac,new,warfarin,real,4,23.840,no-thread
mac,new,warfarin,real,5,19.170,no-thread
mac,new,warfarin,real,4,18.626,no-thread
mac,new,warfarin,real,5,43.054,no-thread
mac,new,warfarin,real,4,36.550,no-thread
mac,new,warfarin,sys,0,0.079,no-thread
mac,new,warfarin,sys,0,0.097,no-thread
mac,new,warfarin,sys,0,0.076,no-thread
mac,new,warfarin,sys,0,0.091,no-thread
mac,new,warfarin,sys,0,0.074,no-thread
